Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
In-distribution,Adaptive Resampled,Multilabel,3,0.9675925925925926,0.9631336405529954,0.9653579676674365
In-distribution,Adaptive Resampled,Multilabel,4,1.0,0.75,0.8571428571428571
In-distribution,Adaptive Resampled,Multilabel,5,0.9941747572815534,0.9903288201160542,0.9922480620155038
In-distribution,Adaptive Resampled,Multilabel,6,,0.0,
In-distribution,Adaptive Resampled,Multilabel,7,0.9958762886597938,0.9897540983606558,0.9928057553956835
In-distribution,Adaptive Resampled,Multilabel,8,1.0,0.8,0.888888888888889
In-distribution,Adaptive Resampled,Multilabel,9,0.9863013698630136,0.972972972972973,0.979591836734694
In-distribution,Adaptive Resampled,Multilabel,10,0.993234100135318,0.9959294436906377,0.994579945799458
In-distribution,Adaptive Resampled,Multilabel,11,0.9375,1.0,0.967741935483871
In-distribution,Adaptive Resampled,Multilabel,12,,,
In-distribution,Adaptive Resampled,Multilabel,13,0.9852507374631269,0.9940476190476191,0.9896296296296296
In-distribution,Adaptive Resampled,Multilabel,14,0.998,0.9900793650793651,0.9940239043824701
In-distribution,Adaptive Resampled,Multilabel,15,0.9874213836477987,0.9936708860759493,0.9905362776025236
In-distribution,Adaptive Resampled,Multilabel,16,1.0,0.4444444444444444,0.6153846153846153
In-distribution,Adaptive Resampled,Multilabel,17,0.9905992949471211,0.9988151658767772,0.9946902654867257
In-distribution,Adaptive Resampled,Multilabel,18,0.9861111111111112,0.9403973509933775,0.9627118644067797
In-distribution,Adaptive Resampled,Multilabel,19,0.9814814814814815,0.9380530973451328,0.9592760180995475
In-distribution,Adaptive Resampled,Multilabel,20,,0.0,
In-distribution,Adaptive Resampled,Multilabel,21,0.9892787524366472,0.9902439024390244,0.9897610921501706
In-distribution,Adaptive Resampled,Multilabel,22,1.0,0.8676470588235294,0.9291338582677166
In-distribution,Adaptive Resampled,Multilabel,23,0.9823788546255506,0.9911111111111112,0.9867256637168141
In-distribution,Adaptive Resampled,Multilabel,24,0.9550561797752809,1.0,0.9770114942528736
In-distribution,Adaptive Resampled,Multilabel,25,0.9915730337078652,0.9971751412429378,0.9943661971830987
In-distribution,Adaptive Resampled,Multilabel,26,0.9791666666666666,0.986013986013986,0.9825783972125435
In-distribution,Adaptive Resampled,Multilabel,27,0.9772727272727273,0.9953703703703703,0.9862385321100917
In-distribution,Adaptive Resampled,Multilabel,28,0.875,0.7,0.7777777777777777
In-distribution,Adaptive Resampled,Multilabel,29,0.9769357495881383,0.9983164983164983,0.9875104079933389
In-distribution,Adaptive Resampled,Multilabel,30,0.9952153110047847,0.9984,0.9968051118210862
In-distribution,Adaptive Resampled,Multilabel,31,0.9803921568627451,0.9493670886075949,0.9646302250803858
In-distribution,Adaptive Resampled,Multilabel,32,1.0,1.0,1.0
In-distribution,Adaptive Resampled,Multilabel,33,1.0,0.9583333333333334,0.9787234042553191
In-distribution,Adaptive Resampled,Multilabel,34,1.0,0.8888888888888888,0.9411764705882353
In-distribution,Adaptive Resampled,Multilabel,35,1.0,1.0,1.0
In-distribution,Adaptive Resampled,Multilabel,36,0.9795918367346939,0.9863013698630136,0.9829351535836177
In-distribution,Adaptive Resampled,Multilabel,37,0.9939393939393939,1.0,0.9969604863221885
In-distribution,Adaptive Resampled,Multilabel,38,0.9565217391304348,0.9166666666666666,0.9361702127659574
In-distribution,Adaptive Resampled,Multilabel,39,,0.0,
In-distribution,Adaptive Resampled,Multilabel,40,1.0,1.0,1.0
In-distribution,Adaptive Resampled,Multilabel,41,,0.0,
In-distribution,Adaptive Resampled,Multilabel,42,1.0,0.8461538461538461,0.9166666666666666
In-distribution,Adaptive Resampled,Multilabel,43,0.996,0.996,0.996
In-distribution,Adaptive Resampled,Multilabel,44,1.0,0.3333333333333333,0.5
In-distribution,Adaptive Resampled,Multilabel,45,1.0,0.95,0.9743589743589743
